"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","990","test_registration_negative_fields[name--Name is required-Пустое имя]","tests","2026-09-21","passed","2026-09-21","","test_registration","",""
"","2414","Создание дубликата машины (Playwright + API)","tests","2026-09-21","passed","2026-09-21","","test_playwright_add_car","",""
"","1399","test_registration_existing_user[z2I8A@U!Hl3T2&@h-Занятый email + Тот же пароль]","tests","2026-09-21","passed","2026-09-21","","test_registration","",""
"","607","test_api_add_car_unauthorized","tests","2026-09-21","passed","2026-09-21","","test_api_car","",""
"","1471","test_login_success","tests","2026-09-21","passed","2026-09-21","","test_login","",""
"","3772","test_api_car_lifecycle","tests","2026-09-21","passed","2026-09-21","","test_api_car","",""
"","946","test_calendar_past_navigation_blocked","tests","2026-09-21","passed","2026-09-21","","test_calendar","",""
"","927","test_registration_negative_fields[password-P123$-Password must contain minimum 6 symbols-Слишком короткий пароль]","tests","2026-09-21","passed","2026-09-21","","test_registration","",""
"","538","test_search_empty_city_validation","tests","2026-09-21","passed","2026-09-21","","test_search","",""
"Проверка ошибок, которые возвращает сервер после попытки авторизации","1323","test_login_negative_backend[fake_user_12345@gmail.com-valid_pass-Login or Password incorrect-Несуществующий пользователь]","tests","2026-09-21","passed","2026-09-21","","test_login","",""
"","1022","test_registration_without_check_box","tests","2026-09-21","passed","2026-09-21","","test_registration","",""
"","1192","Успешная авторизация (Playwright + POM)","tests","2026-09-21","passed","2026-09-21","","test_playwright_login","",""
"","1529","test_registration_success","tests","2026-09-21","passed","2026-09-21","","test_registration","",""
"","692","test_api_add_car_success","tests","2026-09-21","passed","2026-09-21","","test_api_car","",""
"","903","test_registration_negative_fields[password--Password is required-Пустой пароль]","tests","2026-09-21","passed","2026-09-21","","test_registration","",""
"","4500","test_hybrid_car_search","tests","2026-09-21","passed","2026-09-21","","test_hybrid_search","",""
"","2042","test_add_car_duplicate","tests","2026-09-21","passed","2026-09-21","","test_add_car","",""
"","2883","test_add_car_success[Petrol-Economy-Добавление бензиновой машины эконом-класса]","tests","2026-09-21","passed","2026-09-21","","test_add_car","",""
"","1326","test_registration_existing_user[Qwe12345!_new-Занятый email + Другой пароль (валидный формат)]","tests","2026-09-21","passed","2026-09-21","","test_registration","",""
"","308","test_search_dates_readonly_protection","tests","2026-09-21","passed","2026-09-21","","test_search","",""
"","705","test_calendar_month_navigation","tests","2026-09-21","passed","2026-09-21","","test_calendar","",""
"","934","test_registration_negative_fields[email-tonygmail.com-Wrong email format-Неверный формат email]","tests","2026-09-21","passed","2026-09-21","","test_registration","",""
"","729","test_login_negative_frontend[warman.of.mars@gmail.com-empty-Password is required-Пустой пароль]","tests","2026-09-21","passed","2026-09-21","","test_login","",""
"","1340","test_registration_existing_user[5wBE@o-Занятый email + Короткий сложный пароль ('5wBE@o')]","tests","2026-09-21","skipped","2026-09-21","","test_registration","",""
"","1734","test_api_car_booking_flow","tests","2026-09-21","passed","2026-09-21","","test_api_car","",""
"","237","Ошибки валидации формы логина (Playwright)","tests","2026-09-21","passed","2026-09-21","","test_playwright_login","",""
"","2210","test_add_car_success[Electric-Premium-Добавление премиального электрокара]","tests","2026-09-21","passed","2026-09-21","","test_add_car","",""
"","303","Строгое соответствие словаря городов (Frontend vs Backend)","tests","2026-09-21","skipped","2026-09-21","","test_dictionaries","",""
"","3518","test_search_form_dynamic","tests","2026-09-21","passed","2026-09-21","","test_search","",""
"","683","test_login_negative_frontend[123-valid-Wrong email format-Невалидный формат email]","tests","2026-09-21","passed","2026-09-21","","test_login","",""
"","551","test_navigation_to_registration","tests","2026-09-21","passed","2026-09-21","","test_registration","",""
"","5658","test_calendar_ui_and_close","tests","2026-09-21","passed","2026-09-21","","test_calendar","",""
"","236","Ошибки валидации формы логина (Playwright)","tests","2026-09-21","passed","2026-09-21","","test_playwright_login","",""
"","987","test_registration_negative_fields[last_name--Last name is required-Пустая фамилия]","tests","2026-09-21","passed","2026-09-21","","test_registration","",""
"","1050","test_registration_negative_fields[email--Email is required-Пустой email]","tests","2026-09-21","passed","2026-09-21","","test_registration","",""
"Проверка ошибок, которые возвращает сервер после попытки авторизации","1320","test_login_negative_backend[valid_email-WrongPassword123!-Login or Password incorrect-Неверный пароль]","tests","2026-09-21","passed","2026-09-21","","test_login","",""
"","2053","Реальное добавление машины (E2E Playwright)","tests","2026-09-21","passed","2026-09-21","","test_playwright_add_car","",""
