"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","753","test_registration_without_check_box","tests","2026-09-16","passed","2026-09-16","","test_registration","",""
"","726","test_calendar_month_navigation","tests","2026-09-16","passed","2026-09-16","","test_calendar","",""
"Проверка ошибок, которые возвращает сервер после попытки авторизации","833","test_login_negative_backend[fake_user_12345@gmail.com-z2I8A@U!Hl3T2&@h-Несуществующий пользователь]","tests","2026-09-16","passed","2026-09-16","","test_login","",""
"","720","test_registration_existing_user","tests","2026-09-16","passed","2026-09-16","","test_registration","",""
"","17138","test_add_car_success[Electric-Premium-Добавление премиального электрокара]","tests","2026-09-16","skipped","2026-09-16","","test_add_car","",""
"","5602","test_calendar_ui_and_close","tests","2026-09-16","passed","2026-09-16","","test_calendar","",""
"","670","test_registration_negative_fields[last_name--Last name is required-Пустая фамилия]","tests","2026-09-16","passed","2026-09-16","","test_registration","",""
"","368","test_navigation_to_registration","tests","2026-09-16","passed","2026-09-16","","test_registration","",""
"","679","test_registration_negative_fields[password-P123$-Password must contain minimum 6 symbols-Слишком короткий пароль]","tests","2026-09-16","passed","2026-09-16","","test_registration","",""
"","710","test_registration_negative_fields[email-tonygmail.com-Wrong email format-Неверный формат email]","tests","2026-09-16","passed","2026-09-16","","test_registration","",""
"","659","test_registration_negative_fields[password--Password is required-Пустой пароль]","tests","2026-09-16","passed","2026-09-16","","test_registration","",""
"","460","test_search_empty_city_validation","tests","2026-09-16","passed","2026-09-16","","test_search","",""
"","754","test_registration_negative_fields[name--Name is required-Пустое имя]","tests","2026-09-16","passed","2026-09-16","","test_registration","",""
"","74","test_api_add_car_unauthorized","tests","2026-09-16","passed","2026-09-16","","test_api_car","",""
"","851","test_login_success","tests","2026-09-16","passed","2026-09-16","","test_login","",""
"","569","test_calendar_past_navigation_blocked","tests","2026-09-16","passed","2026-09-16","","test_calendar","",""
"","306","test_search_dates_readonly_protection","tests","2026-09-16","passed","2026-09-16","","test_search","",""
"","713","test_registration_negative_fields[email--Email is required-Пустой email]","tests","2026-09-16","passed","2026-09-16","","test_registration","",""
"","725","Успешная авторизация (Playwright версия)","tests","2026-09-16","passed","2026-09-16","","test_playwright_login","",""
"Проверка ошибок, которые отлавливаются на стороне браузера (без отправки на сервер)","547","test_login_negative_frontend[warman.of.mars@gmail.com--Password is required-Пустой пароль]","tests","2026-09-16","passed","2026-09-16","","test_login","",""
"","151","test_api_add_car_success","tests","2026-09-16","passed","2026-09-16","","test_api_car","",""
"","1301","test_search_form_dynamic","tests","2026-09-16","passed","2026-09-16","","test_search","",""
"","34","Строгое соответствие словаря городов (Frontend vs Backend)","tests","2026-09-16","skipped","2026-09-16","","test_dictionaries","",""
"","376","test_api_car_booking_flow","tests","2026-09-16","passed","2026-09-16","","test_api_car","",""
"","2042","test_hybrid_car_search","tests","2026-09-16","passed","2026-09-16","","test_hybrid_search","",""
"Проверка ошибок, которые отлавливаются на стороне браузера (без отправки на сервер)","562","test_login_negative_frontend[123-z2I8A@U!Hl3T2&@h-Wrong email format-Невалидный формат email]","tests","2026-09-16","passed","2026-09-16","","test_login","",""
"","17157","test_add_car_success[Petrol-Economy-Добавление бензиновой машины эконом-класса]","tests","2026-09-16","skipped","2026-09-16","","test_add_car","",""
"","867","test_api_car_lifecycle","tests","2026-09-16","passed","2026-09-16","","test_api_car","",""
"Проверка ошибок, которые возвращает сервер после попытки авторизации","810","test_login_negative_backend[warman.of.mars@gmail.com-WrongPassword123!-Неверный пароль]","tests","2026-09-16","passed","2026-09-16","","test_login","",""
"","990","test_registration_success","tests","2026-09-16","passed","2026-09-16","","test_registration","",""
