"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","913","test_registration_negative_fields[email--Email is required-Пустой email]","tests","2026-09-18","passed","2026-09-18","","test_registration","",""
"","1027","test_registration_negative_fields[name--Name is required-Пустое имя]","tests","2026-09-18","passed","2026-09-18","","test_registration","",""
"","775","test_calendar_month_navigation","tests","2026-09-18","passed","2026-09-18","","test_calendar","",""
"","456","test_api_add_car_unauthorized","tests","2026-09-18","passed","2026-09-18","","test_api_car","",""
"","392","Ошибки валидации формы логина (Playwright)","tests","2026-09-18","passed","2026-09-18","","test_playwright_login","",""
"Проверка ошибок, которые возвращает сервер после попытки авторизации","1344","test_login_negative_backend[fake_user_12345@gmail.com-z2I8A@U!Hl3T2&@h-Несуществующий пользователь]","tests","2026-09-18","passed","2026-09-18","","test_login","",""
"","948","test_registration_negative_fields[email-tonygmail.com-Wrong email format-Неверный формат email]","tests","2026-09-18","passed","2026-09-18","","test_registration","",""
"","1694","test_api_car_booking_flow","tests","2026-09-18","passed","2026-09-18","","test_api_car","",""
"","978","test_registration_negative_fields[password-P123$-Password must contain minimum 6 symbols-Слишком короткий пароль]","tests","2026-09-18","passed","2026-09-18","","test_registration","",""
"Проверка ошибок, которые отлавливаются на стороне браузера (без отправки на сервер)","710","test_login_negative_frontend[123-z2I8A@U!Hl3T2&@h-Wrong email format-Невалидный формат email]","tests","2026-09-18","passed","2026-09-18","","test_login","",""
"","1302","test_login_success","tests","2026-09-18","passed","2026-09-18","","test_login","",""
"","2019","test_add_car_duplicate","tests","2026-09-18","passed","2026-09-18","","test_add_car","",""
"","2672","Реальное добавление машины (E2E Playwright)","tests","2026-09-18","passed","2026-09-18","","test_playwright_add_car","",""
"","2214","test_add_car_success[Petrol-Economy-Добавление бензиновой машины эконом-класса]","tests","2026-09-18","passed","2026-09-18","","test_add_car","",""
"","1899","test_search_form_dynamic","tests","2026-09-18","passed","2026-09-18","","test_search","",""
"","2995","Создание дубликата машины (Playwright + API)","tests","2026-09-18","passed","2026-09-18","","test_playwright_add_car","",""
"","1200","test_calendar_past_navigation_blocked","tests","2026-09-18","passed","2026-09-18","","test_calendar","",""
"","1361","test_registration_existing_user","tests","2026-09-18","passed","2026-09-18","","test_registration","",""
"","2554","test_hybrid_car_search","tests","2026-09-18","passed","2026-09-18","","test_hybrid_search","",""
"","1949","test_add_car_success[Electric-Premium-Добавление премиального электрокара]","tests","2026-09-18","passed","2026-09-18","","test_add_car","",""
"","6273","test_calendar_ui_and_close","tests","2026-09-18","passed","2026-09-18","","test_calendar","",""
"","1035","test_registration_without_check_box","tests","2026-09-18","passed","2026-09-18","","test_registration","",""
"","610","test_search_empty_city_validation","tests","2026-09-18","passed","2026-09-18","","test_search","",""
"","1029","test_registration_negative_fields[password--Password is required-Пустой пароль]","tests","2026-09-18","passed","2026-09-18","","test_registration","",""
"Проверка ошибок, которые возвращает сервер после попытки авторизации","1204","test_login_negative_backend[warman.of.mars@gmail.com-WrongPassword123!-Неверный пароль]","tests","2026-09-18","passed","2026-09-18","","test_login","",""
"","2592","test_api_car_lifecycle","tests","2026-09-18","passed","2026-09-18","","test_api_car","",""
"","691","Ошибки валидации формы логина (Playwright)","tests","2026-09-18","passed","2026-09-18","","test_playwright_login","",""
"Проверка ошибок, которые отлавливаются на стороне браузера (без отправки на сервер)","801","test_login_negative_frontend[warman.of.mars@gmail.com--Password is required-Пустой пароль]","tests","2026-09-18","passed","2026-09-18","","test_login","",""
"","1440","test_registration_success","tests","2026-09-18","passed","2026-09-18","","test_registration","",""
"","672","test_search_dates_readonly_protection","tests","2026-09-18","passed","2026-09-18","","test_search","",""
"","247","Строгое соответствие словаря городов (Frontend vs Backend)","tests","2026-09-18","skipped","2026-09-18","","test_dictionaries","",""
"","536","test_api_add_car_success","tests","2026-09-18","passed","2026-09-18","","test_api_car","",""
"","1010","test_registration_negative_fields[last_name--Last name is required-Пустая фамилия]","tests","2026-09-18","passed","2026-09-18","","test_registration","",""
"","1370","Успешная авторизация (Playwright + POM)","tests","2026-09-18","passed","2026-09-18","","test_playwright_login","",""
"","577","test_navigation_to_registration","tests","2026-09-18","passed","2026-09-18","","test_registration","",""
